X.1,Rentrés avant 1 an,Rentrés entre 1–3 ans,Rentrés après 3+ ans,Pas rentrés
Suisses nés en Suisse,16,20.3,19.7,44.1
Suisses nés à l'étranger,10.9,12.5,16.4,60.3
